"","country","date","total_cases","new_cases","new_cases_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths","new_deaths","new_deaths_smoothed","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","excess_mortality","excess_mortality_cumulative","excess_mortality_cumulative_absolute","excess_mortality_cumulative_per_million","hosp_patients","hosp_patients_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","icu_patients","icu_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","stringency_index","reproduction_rate","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","code","continent","population","population_density","median_age","life_expectancy","gdp_per_capita","extreme_poverty","diabetes_prevalence","handwashing_facilities","hospital_beds_per_thousand","human_development_index"
"460409","United Kingdom","2020-03-04",133,41,12.857142,1.9507396,0.60135585,0.18857849,4,1,0.14285715,0.058668863,0.014667216,0.0020953165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.3963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460410","United Kingdom","2020-03-05",191,58,20.714285,2.801438,0.8506985,0.30382088,4,0,0.14285715,0.058668863,0,0.0020953165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.4077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460411","United Kingdom","2020-03-06",247,56,28.428572,3.6228023,0.82136405,0.416968,5,1,0.2857143,0.07333608,0.014667216,0.004190633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.4272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460412","United Kingdom","2020-03-07",296,49,34.285713,4.341496,0.71869355,0.502876,7,2,0.5714286,0.102670506,0.029334432,0.008381266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.4488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460413","United Kingdom","2020-03-08",379,83,44.42857,5.5588746,1.2173789,0.65164346,9,2,0.85714287,0.13200495,0.029334432,0.012571899,-5.4633517,-4.2380304,-5888.201,-87.80566,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.4747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460414","United Kingdom","2020-03-09",447,68,53.57143,6.5562453,0.99737066,0.7857437,9,0,0.85714287,0.13200495,0,0.012571899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460415","United Kingdom","2020-03-10",502,55,58.57143,7.362942,0.80669683,0.8590798,11,2,1.1428572,0.16133937,0.029334432,0.016762532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460416","United Kingdom","2020-03-11",650,148,73.85714,9.53369,2.170748,1.0832787,16,5,1.7142857,0.23467545,0.07333608,0.025143798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.5275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460417","United Kingdom","2020-03-12",915,265,103.42857,13.420502,3.8868122,1.5170091,19,3,2.142857,0.2786771,0.044001646,0.03142975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460418","United Kingdom","2020-03-13",1318,403,153,19.33139,5.9108877,2.244084,26,7,3,0.3813476,0.102670506,0.044001646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.96,2.4592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460419","United Kingdom","2020-03-14",1802,484,215.14285,26.430323,7.0989323,3.1555467,39,13,4.571429,0.5720214,0.1906738,0.06705013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.96,2.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460420","United Kingdom","2020-03-15",2280,478,271.57144,33.44125,7.010929,3.9831967,55,16,6.571429,0.80669683,0.23467545,0.09638456,-1.6572144,-4.0210967,-6099.501,-90.95659,NA,NA,NA,NA,NA,NA,NA,NA,12.96,2.3691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460421","United Kingdom","2020-03-16",2632,352,312.14285,38.60411,5.16286,4.5782666,76,21,9.571428,1.1147084,0.30801153,0.14038621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,2.3236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460422","United Kingdom","2020-03-17",3073,441,367.2857,45.072353,6.468242,5.3870587,106,30,13.571428,1.5547248,0.44001648,0.19905506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,2.2846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460423","United Kingdom","2020-03-18",3675,602,432.14285,53.902016,8.829663,6.338332,156,50,20,2.2880857,0.73336077,0.29334432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,2.2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460424","United Kingdom","2020-03-19",4458,783,506.14285,65.386444,11.484429,7.4237065,214,58,27.857143,3.1387842,0.8506985,0.4085867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,2.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460425","United Kingdom","2020-03-20",5442,984,589.1429,79.818985,14.43254,8.641086,287,73,37.285713,4.209491,1.0707067,0.5468776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.04,2.1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460426","United Kingdom","2020-03-21",6482,1040,668.5714,95.07289,15.253904,9.806081,366,79,46.714287,5.368201,1.15871,0.6851685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,2.1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460427","United Kingdom","2020-03-22",7735,1253,779.2857,113.45091,18.378021,11.429952,484,118,61.285713,7.0989323,1.7307314,0.8988908,0.3604126,-3.698163,-6056.001,-90.307915,NA,NA,NA,NA,NA,NA,NA,NA,62.04,2.1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460428","United Kingdom","2020-03-23",8918,1183,898,130.80223,17.351316,13.17116,627,143,78.71429,9.196344,2.0974119,1.1545194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.24,2.0778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460429","United Kingdom","2020-03-24",10279,1361,1029.4286,150.76431,19.96208,15.09885,810,183,100.57143,11.880445,2.6841004,1.4751028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,2.0291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460430","United Kingdom","2020-03-25",12568,2289,1270.4286,184.33757,33.573257,18.63365,1016,206,122.85714,14.901891,3.0214465,1.8019722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460431","United Kingdom","2020-03-26",14921,2353,1494.7142,218.84952,34.51196,21.923296,1279,263,152.14285,18.759369,3.8574777,2.231512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.9358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460432","United Kingdom","2020-03-27",17587,2666,1735,257.95233,39.102795,25.447618,1616,337,189.85715,23.70222,4.9428515,2.7846756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.8889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460433","United Kingdom","2020-03-28",20626,3039,2020.5714,302.526,44.57367,29.636156,2026,410,237.14285,29.715778,6.0135584,3.4782255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.8411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460434","United Kingdom","2020-03-29",23781,3155,2292.2856,348.80106,46.275066,33.62145,2489,463,286.42856,36.5067,6.7909207,4.2011094,7.7040997,-2.943087,-5161.301,-76.96602,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.7914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460435","United Kingdom","2020-03-30",26555,2774,2519.5715,389.4879,40.686855,36.955097,3005,516,339.7143,44.07498,7.568283,4.9826627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.7416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460436","United Kingdom","2020-03-31",29373,2818,2727.7144,430.82013,41.332214,40.007973,3590,585,397.14285,52.655304,8.580321,5.82498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,1.6908,155174,NA,2.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460437","United Kingdom","2020-04-01",33568,4195,3000,492.3491,61.52897,44.001648,4300,710,469.14285,63.069027,10.413723,6.8810196,NA,NA,NA,NA,13431,198.951,NA,NA,NA,NA,NA,NA,79.63,1.6415,167098,11924,2.484,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460438","United Kingdom","2020-04-02",38031,4463,3301.4285,557.8089,65.459785,48.422764,5127,827,549.7143,75.198814,12.129787,8.0627775,NA,NA,NA,NA,13650,202.195,NA,NA,1813,26.856,NA,NA,79.63,1.594,182047,14949,2.706,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460439","United Kingdom","2020-04-03",42922,4891,3619.2856,629.5462,71.73735,53.084843,6049,922,633.2857,88.721985,13.523172,9.288538,NA,NA,NA,NA,15327,227.037,NA,NA,2120,31.403,NA,NA,79.63,1.5479,222937,40890,3.314,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460440","United Kingdom","2020-04-04",47746,4824,3874.2856,700.30084,70.75465,56.82498,7055,1006,718.4286,103.4772,14.7552185,10.537347,NA,NA,NA,NA,17269,255.803,NA,NA,2309,34.203,NA,NA,79.63,1.5025,238836,15899,3.55,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460441","United Kingdom","2020-04-05",52599,4853,4116.857,771.4809,71.18,60.38283,8111,1056,803.1429,118.96578,15.48858,11.779869,58.071297,0.88662,1658.999,24.73922,18619,275.801,NA,NA,2469,36.573,NA,NA,79.63,1.4573,251569,12733,3.739,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460442","United Kingdom","2020-04-06",56575,3976,4288.5713,829.7977,58.31685,62.9014,9257,1146,893.1429,135.77441,16.808628,13.099918,NA,NA,NA,NA,19252,285.177,NA,NA,2644,39.165,NA,NA,79.63,1.4137,265885,14316,3.952,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460443","United Kingdom","2020-04-07",60131,3556,4394,881.95435,52.15662,64.44775,10476,1219,983.7143,153.65375,17.879335,14.4283495,NA,NA,NA,NA,20000,296.257,21649,320.683,2864,42.424,NA,NA,79.63,1.3718,280304,14419,4.166,0.214,17876,0.266,24.580442,4.068275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460444","United Kingdom","2020-04-08",65404,5273,4548,959.29456,77.340225,66.7065,11644,1168,1049.1428,170.78505,17.131308,15.388004,NA,NA,NA,NA,20512,303.841,21066,312.048,2967,43.95,NA,NA,79.63,1.3321,296747,16443,4.411,0.244,18521,0.275,24.568176,4.0703073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460445","United Kingdom","2020-04-09",70881,5477,4692.857,1039.627,80.33234,68.83115,12936,1292,1115.5714,189.73509,18.950043,16.362326,NA,NA,NA,NA,20795,308.033,20433,302.671,2963,43.89,NA,NA,79.63,1.2972,315141,18394,4.684,0.273,19013,0.283,24.606237,4.06403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460446","United Kingdom","2020-04-10",76027,5146,4729.2856,1115.1044,75.47749,69.365456,14395,1459,1192.2858,211.13457,21.399467,17.48751,NA,NA,NA,NA,21092,312.433,19977,295.916,3228,47.816,NA,NA,79.63,1.2663,332925,17784,4.948,0.264,15713,0.234,25.979156,3.878645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460447","United Kingdom","2020-04-11",80902,4875,4736.5713,1186.607,71.50268,69.47231,15766,1371,1244.4286,231.24332,20.108753,18.252302,NA,NA,NA,NA,21075,312.181,19237,284.955,3274,48.497,NA,NA,79.63,1.2388,350575,17650,5.211,0.262,15963,0.237,26.717764,3.776948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
"460448","United Kingdom","2020-04-12",85229,4327,4661.4287,1250.0721,63.465042,68.37018,17085,1319,1282,250.58937,19.346058,18.80337,74.66597,5.3268924,10605.699,158.15364,21516,318.713,18406,272.645,3301,48.897,NA,NA,79.63,1.2133,365081,14506,5.426,0.216,16216,0.241,27.055779,3.72725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR","Europe",68179267,281.81403,39.504,NA,47587.168,0.24510054,6.3,NA,2.46,0.94
